Timestamp,Player,Team,Action,Rally,Rotation
00:00,,Team A,Rotation Init,,"#17, #12, #3, #1, #23, #7"
00:00,,Team B,Rotation Init,,"#23, #4, #13, #9, #11, #8"
00:05,#23,Team B,Serve,1,
00:06,#2,Team A,First Touch,1,
00:09,#3,Team A,Third Touch,1,
00:10,#23,Team B,First Touch,1,
00:12,#4,Team B,Second Touch,1,
00:13,#13,Team B,Third Touch,1,
00:17,,,Start Rally,2,
